visitorid,itemid,recommendation_score,feedback,feedback_score,updated_score,updated_rank,recommendation_score_user,updated_score_user,feedback_score_user,personalization_score,personalized_rank
286,184998,1.0,Like,1,1.0,1,1.0,1.0,0.8,0.9500000000000001,1
286,97890,1.0,Neutral,0,1.0,2,1.0,1.0,0.8,0.9500000000000001,2
286,55072,1.0,Like,1,1.0,3,1.0,1.0,0.8,0.9500000000000001,3
286,311886,1.0,Like,1,1.0,4,1.0,1.0,0.8,0.9500000000000001,4
286,230785,1.0,Like,1,1.0,5,1.0,1.0,0.8,0.9500000000000001,5
286,405723,1.0,Like,1,1.0,6,1.0,1.0,0.8,0.9500000000000001,6
286,380693,1.0,Like,1,1.0,7,1.0,1.0,0.8,0.9500000000000001,7
286,23099,1.0,Neutral,0,1.0,8,1.0,1.0,0.8,0.9500000000000001,8
286,301547,1.0,Like,1,1.0,9,1.0,1.0,0.8,0.9500000000000001,9
286,207572,1.0,Like,1,1.0,10,1.0,1.0,0.8,0.9500000000000001,10
325,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
325,337166,1.0,Neutral,0,1.0,2,1.3,1.0,0.9,0.975,2
325,118633,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
325,39207,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
325,143316,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
325,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
325,256694,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
325,97890,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
325,55072,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
325,311886,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
433,358819,4.0,Like,1,1.0,1,1.3,1.0,1.0,1.0,1
433,337166,1.0,Like,1,1.0,2,1.3,1.0,1.0,1.0,2
433,301547,1.0,Like,1,1.0,3,1.3,1.0,1.0,1.0,3
433,39207,1.0,Like,1,1.0,4,1.3,1.0,1.0,1.0,4
433,143316,1.0,Like,1,1.0,5,1.3,1.0,1.0,1.0,5
433,69081,1.0,Like,1,1.0,6,1.3,1.0,1.0,1.0,6
433,256694,1.0,Like,1,1.0,7,1.3,1.0,1.0,1.0,7
433,97890,1.0,Like,1,1.0,8,1.3,1.0,1.0,1.0,8
433,55072,1.0,Like,1,1.0,9,1.3,1.0,1.0,1.0,9
433,311886,1.0,Like,1,1.0,10,1.3,1.0,1.0,1.0,10
515,337166,1.0,Like,1,1.0,1,1.0,1.0,0.8,0.9500000000000001,1
515,69081,1.0,Like,1,1.0,2,1.0,1.0,0.8,0.9500000000000001,2
515,301547,1.0,Like,1,1.0,3,1.0,1.0,0.8,0.9500000000000001,3
515,118633,1.0,Neutral,0,1.0,4,1.0,1.0,0.8,0.9500000000000001,4
515,97890,1.0,Neutral,0,1.0,5,1.0,1.0,0.8,0.9500000000000001,5
515,55072,1.0,Like,1,1.0,6,1.0,1.0,0.8,0.9500000000000001,6
515,311886,1.0,Like,1,1.0,7,1.0,1.0,0.8,0.9500000000000001,7
515,80311,1.0,Like,1,1.0,8,1.0,1.0,0.8,0.9500000000000001,8
515,322328,1.0,Like,1,1.0,9,1.0,1.0,0.8,0.9500000000000001,9
515,96375,1.0,Like,1,1.0,10,1.0,1.0,0.8,0.9500000000000001,10
1281,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
1281,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
1281,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
1281,118633,1.0,Neutral,0,1.0,4,1.3,1.0,0.9,0.975,4
1281,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
1281,69081,1.0,Like,1,1.0,6,1.3,1.0,0.9,0.975,6
1281,143316,1.0,Like,1,1.0,7,1.3,1.0,0.9,0.975,7
1281,256694,1.0,Like,1,1.0,8,1.3,1.0,0.9,0.975,8
1281,55072,1.0,Like,1,1.0,9,1.3,1.0,0.9,0.975,9
1281,311886,1.0,Like,1,1.0,10,1.3,1.0,0.9,0.975,10
1552,358819,4.0,Neutral,0,1.0,1,1.3,1.0,0.6,0.9,1
1552,337166,1.0,Like,1,1.0,2,1.3,1.0,0.6,0.9,2
1552,301547,1.0,Neutral,0,1.0,3,1.3,1.0,0.6,0.9,3
1552,118633,1.0,Neutral,0,1.0,4,1.3,1.0,0.6,0.9,4
1552,39207,1.0,Like,1,1.0,5,1.3,1.0,0.6,0.9,5
1552,69081,1.0,Neutral,0,1.0,6,1.3,1.0,0.6,0.9,6
1552,143316,1.0,Like,1,1.0,7,1.3,1.0,0.6,0.9,7
1552,256694,1.0,Like,1,1.0,8,1.3,1.0,0.6,0.9,8
1552,97890,1.0,Like,1,1.0,9,1.3,1.0,0.6,0.9,9
1552,311886,1.0,Like,1,1.0,10,1.3,1.0,0.6,0.9,10
1724,358819,4.0,Like,1,1.0,1,1.3,1.0,0.9,0.975,1
1724,337166,1.0,Like,1,1.0,2,1.3,1.0,0.9,0.975,2
1724,301547,1.0,Like,1,1.0,3,1.3,1.0,0.9,0.975,3
1724,118633,1.0,Like,1,1.0,4,1.3,1.0,0.9,0.975,4
1724,39207,1.0,Like,1,1.0,5,1.3,1.0,0.9,0.975,5
