itemid,total_interaction_strength,total_users
461686,4115,1393
187946,3416,2912
5411,2352,2079
219512,1944,1370
257040,1933,986
320130,1921,886
7943,1867,846
370653,1854,1577
384302,1798,1154
309778,1784,1055
312728,1660,615
298009,1642,1342
96924,1633,1359
111530,1569,926
441668,1543,1080
234255,1525,988
369447,1498,615
48030,1476,634
37029,1469,776
445351,1431,636
335975,1428,1154
29196,1412,628
190000,1405,848
9877,1402,458
119736,1369,267
65273,1330,784
409804,1278,457
441852,1265,656
315543,1251,549
151444,1230,1103
112782,1206,887
420960,1165,373
161623,1149,762
142466,1138,936
400946,1127,700
241555,1092,414
455183,1091,707
290999,1084,719
350629,1070,702
434782,1069,938
354233,1060,852
133907,1046,738
12217,1036,650
17478,1032,381
91755,1024,851
316753,1018,536
102306,1013,858
158666,1013,636
315545,989,636
133814,983,760
29100,982,666
247909,945,662
303715,939,565
248455,921,292
46232,921,478
122604,918,567
231482,911,564
266900,911,496
393028,911,677
341482,904,732
303828,900,475
84160,899,735
268883,898,338
325310,882,282
179601,875,567
355994,847,498
339703,842,469
546,839,311
438484,838,510
138427,828,427
394678,807,574
318333,805,417
213834,804,258
422425,798,486
299222,797,523
345279,783,547
46156,779,291
869,779,413
253615,775,490
69533,772,533
225778,767,681
109618,764,513
58638,756,380
209994,753,668
390591,750,450
232509,746,684
389158,741,455
359491,736,577
447661,735,471
153778,732,397
429094,727,635
38965,726,272
242905,723,501
15948,711,620
351044,709,541
367664,706,370
89775,705,464
357054,704,423
23762,704,309
416017,700,187
379520,691,276
222888,688,222
445105,687,434
291877,687,416
320494,686,404
272770,684,490
4001,684,448
82586,672,470
413166,670,574
393111,669,400
254418,667,456
243355,666,409
399031,661,394
279457,659,407
338660,656,382
218794,655,338
22436,649,397
66752,649,424
450082,644,259
206880,640,441
374092,638,398
454818,638,422
215715,637,503
5470,636,383
82278,634,410
290250,634,571
453618,634,458
448453,632,269
91105,625,478
218746,618,334
378637,613,426
464731,612,294
76060,611,434
132683,611,304
204494,610,339
46130,608,355
445749,606,509
149275,604,490
316779,604,532
118914,600,415
42002,597,259
216305,596,440
459475,596,368
308438,596,371
460188,596,436
171878,594,260
369158,589,308
231243,586,357
449571,584,518
80435,583,340
449912,583,397
215596,581,405
162139,581,326
62549,580,404
342530,578,337
260539,574,386
235224,573,408
289103,573,366
403757,573,489
274798,568,408
344723,567,316
444190,567,227
159822,566,282
330506,561,324
11279,556,334
360487,555,327
417927,555,180
17114,554,509
294482,553,401
64951,553,388
350103,551,371
170811,550,403
304537,544,370
172894,543,250
442131,543,291
260650,542,434
82389,541,431
272455,540,326
344071,539,313
299677,539,335
287664,538,505
215363,538,332
368060,537,392
334273,536,438
10572,534,213
180751,533,311
192875,532,395
424515,532,340
76426,529,296
298196,527,483
170262,524,282
380971,523,310
392074,523,412
228392,522,322
57788,521,359
