visitorid,itemid,recommendation_score
286,184998,1.0
286,97890,1.0
286,55072,1.0
286,311886,1.0
286,230785,1.0
286,405723,1.0
286,380693,1.0
286,23099,1.0
286,301547,1.0
286,207572,1.0
325,358819,4.0
325,337166,1.0
325,118633,1.0
325,39207,1.0
325,143316,1.0
325,69081,1.0
325,256694,1.0
325,97890,1.0
325,55072,1.0
325,311886,1.0
433,358819,4.0
433,337166,1.0
433,301547,1.0
433,39207,1.0
433,143316,1.0
433,69081,1.0
433,256694,1.0
433,97890,1.0
433,55072,1.0
433,311886,1.0
515,337166,1.0
515,69081,1.0
515,301547,1.0
515,118633,1.0
515,97890,1.0
515,55072,1.0
515,311886,1.0
515,80311,1.0
515,322328,1.0
515,96375,1.0
1281,358819,4.0
1281,337166,1.0
1281,301547,1.0
1281,118633,1.0
1281,39207,1.0
1281,69081,1.0
1281,143316,1.0
1281,256694,1.0
1281,55072,1.0
1281,311886,1.0
1552,358819,4.0
1552,337166,1.0
1552,301547,1.0
1552,118633,1.0
1552,39207,1.0
1552,69081,1.0
1552,143316,1.0
1552,256694,1.0
1552,97890,1.0
1552,311886,1.0
1724,358819,4.0
1724,337166,1.0
1724,301547,1.0
1724,118633,1.0
1724,39207,1.0
1724,69081,1.0
1724,143316,1.0
1724,256694,1.0
1724,97890,1.0
1724,55072,1.0
1997,358819,4.0
1997,337166,1.0
1997,301547,1.0
1997,118633,1.0
1997,39207,1.0
1997,69081,1.0
1997,143316,1.0
1997,256694,1.0
1997,97890,1.0
1997,55072,1.0
2056,358819,4.0
2056,337166,1.0
2056,301547,1.0
2056,118633,1.0
2056,39207,1.0
2056,69081,1.0
2056,143316,1.0
2056,256694,1.0
2056,97890,1.0
2056,55072,1.0
2347,358819,4.0
2347,337166,1.0
2347,301547,1.0
2347,118633,1.0
2347,39207,1.0
2347,69081,1.0
2347,143316,1.0
2347,256694,1.0
2347,97890,1.0
2347,55072,1.0
2496,358819,4.0
2496,337166,1.0
2496,301547,1.0
2496,118633,1.0
2496,39207,1.0
2496,69081,1.0
2496,143316,1.0
2496,256694,1.0
2496,97890,1.0
2496,55072,1.0
3418,358819,4.0
3418,337166,1.0
3418,301547,1.0
3418,118633,1.0
3418,39207,1.0
3418,69081,1.0
3418,143316,1.0
3418,256694,1.0
3418,97890,1.0
3418,55072,1.0
3581,358819,4.0
3581,337166,1.0
3581,301547,1.0
3581,118633,1.0
3581,39207,1.0
3581,69081,1.0
3581,143316,1.0
3581,256694,1.0
3581,97890,1.0
3581,55072,1.0
3827,358819,4.0
3827,337166,1.0
3827,301547,1.0
